community,verification_rating,latitude,longitude,id,name,date,details
Gougbéré,Medium,5.69901,26.24696,L-00192,Joseph Kony,6/1/2009,"After crossing into the CAR from DRC in May 2009, Joseph Kony and his group established a camp north of Obo, CAR."
Gougbéré,Medium,6.15865,26.40488,L-00197,Joseph Kony,9/14/2009,"Kony fled to an old hunting camp, Nzo, following an attack by the UPDF on his camp north of Obo, CAR. There he reportedly received treatment for injuries sustained during the attack from a group of Sudanese traders."
Bassigbiri (east of Obo),Medium,5.19458,26.98399,L-00199,Joseph Kony,3/6/2010,"Kony's group was located south of Bassigbiri, CAR, near the border with DRC."
Doruma,Medium,5.1237,27.12132,L-00200,Joseph Kony,3/7/2010,"Kony's group camped northwest of Doruma, DRC, after crossing the border from the CAR. There Kony reportedly met with senior LRA commanders including Dominic Ongwen and Binany Okumu."
Bambouti,Medium,5.17252,27.23805,L-00193,Joseph Kony,5/1/2009,"In May 2009, Joseph Kony crossed into the CAR from DRC with a group of approximately 250 people, which often split into smaller groups."
Djemah,High,5.93342,25.22728,L-00198,Joseph Kony,10/22/2009,"Kony's group attacked civilians on the road to Derbissaka, CAR, following its battle with the UPDF in Djemah.  The LRA group killed 1 person and abducted 21 others during the attack."
Gougbéré,Medium,5.69901,26.24696,L-00195,Joseph Kony,9/9/2009,"Kony fled his camp north of Obo after UPDF troops attacked it on September 9, 2009. The UPDF claimed to recover a large store of food from the abandoned camp."
Dafak,High,9.45778,23.92278,L-00213,Joseph Kony,1/10/2013,"Joseph Kony meets with senior LRA officers Binany Okumu. Binany had been based in DRC but travelled to Kafia Kingi to meet with Kony and possibly deliver poached ivory. Binany and his bodyguard were then killed on January 18, 2013 by the UPDF in the CAR."
Zapai,Medium,5.00077,25.31267,L-00215,Joseph Kony,1/10/2011,"In early January 2011, Joseph Kony and an LRA group including over 100 fighters cross into DRC's Bas Uele district from the CAR."
Bitima,High,4.48726,29.02066,L-00225,Joseph Kony,6/28/2006,Joseph Kony is interviewed by the BBC and others in an LRA camp in DRC near the border with South Sudan.
Dafak,High,9.45778,23.92278,L-00229,Joseph Kony,2/15/2013,Joseph Kony ordered the execution of feared LRA officer and enforcer Otto Agweng in the Kafia Kingi enclave. Agweng had allegedly angered Kony by raping a female captive against Kony's orders.
Garamba National Park,High,4.19,29.34,L-00241,Joseph Kony,4/15/2008,"Kony ordered Okot Odhiambo and Bok Abudema to set up a camp known as Camp Nigeria near the western border of Garamba National Park, not far from the Congolese town of Bitima."
Garamba National Park,High,4.19,29.34,L-00239,Joseph Kony,4/2/2008,"Okot Odhiambo returned to Kony's camp from the CAR with nearly 100 captives abducted from Obo, CAR, and surrounding towns."
Garamba National Park,High,4.19,29.34,L-00238,Joseph Kony,12/31/2007,"After naming Okot Odiahmbo to replace the executed Vincent Otti as his top deputy, Kony ordered him to return to the CAR for a second time to find a place where the LRA could escape the threat of military pressure."
Garamba National Park,Medium,4.19,29.34,L-00234,Joseph Kony,1/31/2007,"From his camp in DRC's Garamba National Park, Joseph Kony ordered LRA officer Okot Odhiambo to cross in the CAR and identify a location where the LRA could move to avoid future attacks by military forces."
Kit Valley,Medium,4.66017,31.65063,L-00333,Joseph Kony,11/20/2005,"Ugandan troops reportedly attacked Kony's group twice in the Kit Valley, south of Juba."
Ri-Kwangba,Medium,4.4962,29.0216,L-00334,Joseph Kony,12/9/2006,Kony meets his mother near Ri-Kwangba as part of a trust-building effort arranged by mediators of the Juba peace talks.
Sindiru,Medium,4.45763,31.61583,L-00332,Joseph Kony,9/8/2005,"Joseph Kony met with a large group of LRA commanders to plan out the LRA's first LRA foray into the DRC. Following the meeting, Vincent Otti led an LRA groups towards DRC."
